technology,date,suggestion
Perimeterless enterprise,May 2013,Trial
PostgreSQL for NoSQL,Jul 2014,Trial
PostgreSQL for NoSQL,Jan 2014,Trial
PostgreSQL for NoSQL,May 2013,Assess
OkHttp,Apr 2016,Assess
OkHttp,Nov 2015,Assess
PlantUML,May 2015,Assess
Pageify,Nov 2015,Assess
Phoenix,Nov 2016,Trial
Papertrail,Jan 2015,Trial
Papertrail,Jul 2014,Assess
Open source BI/ETL tools,Mar 2012,Assess
Open source BI/ETL tools,Jul 2011,Assess
Moco,Jul 2014,Trial
Moco,Jan 2014,Trial
OWASP Dependency-Check,Nov 2016,Trial
OWASP Dependency-Check,Apr 2016,Trial
MongoDB,Jan 2014,Adopt
MongoDB,May 2013,Adopt
MongoDB,Oct 2012,Trial
MongoDB,Aug 2010,Trial
MongoDB,Apr 2010,Trial
NoSQL,Jul 2011,Trial
NoSQL,Jan 2011,Trial
NoSQL,Aug 2010,Trial
NoSQL,Apr 2010,Assess
Pester,Jul 2014,Trial
Pester,Jan 2014,Assess
Microservice envy,Nov 2015,Hold
Microservice envy,May 2015,Hold
Microservice envy,Jan 2015,Hold
Pact & Pacto,Jan 2015,Trial
Pact & Pacto,Jul 2014,Trial
OpenSocial,Mar 2012,Assess
Nancy,Nov 2015,Adopt
Nancy,May 2015,Adopt
Nancy,Jul 2014,Trial
Nancy,Jan 2014,Assess
Nancy,May 2013,Assess
NoPSD,Nov 2015,Adopt
NoPSD,May 2015,Trial
NoPSD,Jan 2015,Trial
Pipelines as code,Nov 2016,Adopt
Monitoring of invariants,Apr 2016,Assess
Monitoring of invariants,Nov 2015,Assess
Packer,Nov 2016,Adopt
Packer,Jan 2015,Trial
Packer,Jul 2014,Trial
Postman,Nov 2015,Adopt
Postman,May 2015,Adopt
Postman,Jan 2015,Trial
Particle Photon/Particle Electron,Nov 2015,Assess
Particle Photon/Particle Electron,May 2015,Assess
NaCl,May 2015,Assess
Pace-layered Application Strategy,Nov 2015,Hold
Pace-layered Application Strategy,Jan 2015,Assess
Pace-layered Application Strategy,Jul 2014,Assess
pdfmake,May 2015,Assess
Nomad,Nov 2016,Assess
Nomad,Apr 2016,Assess
NPM for all the things,Apr 2016,Trial
NPM for all the things,Nov 2015,Trial
Origami,May 2015,Assess
Mesosphere DCOS,Apr 2016,Assess
Mesosphere DCOS,Nov 2015,Assess
Netflix OSS Full stack,May 2015,Assess
Netflix OSS Full stack,Jan 2015,Assess
Non-relational databases,Jan 2010,Trial
React Native,Nov 2016,Trial
React Native,Apr 2016,Trial
React Native,Nov 2015,Assess
OpenVR,Nov 2016,Assess
Mountebank,Nov 2015,Adopt
Mountebank,May 2015,Adopt
Mountebank,Jan 2015,Assess
Mountebank,Jul 2014,Assess
Pa11y,Nov 2016,Trial
Nuance Mix,Nov 2016,Assess
Meteor.js,Oct 2012,Hold
Out-of-container functional testing,Oct 2012,Trial
Out-of-container functional testing,Mar 2012,Trial
Node.js,Jan 2014,Adopt
Node.js,May 2013,Trial
Node.js,Oct 2012,Trial
Node.js,Mar 2012,Assess
Node.js,Jul 2011,Assess
Node.js,Jan 2011,Assess
Om,May 2015,Trial
Om,Jan 2015,Trial
Om,Jul 2014,Assess
Performance testing as a first-class citizen,May 2013,Adopt
Performance testing as a first-class citizen,Oct 2012,Trial
Performance testing as a first-class citizen,Mar 2012,Trial
Microservices,Jan 2014,Trial
Microservices,May 2013,Trial
Microservices,Oct 2012,Trial
Microservices,Mar 2012,Assess
Overambitious API gateways,Nov 2016,Hold
Overambitious API gateways,Apr 2016,Hold
Overambitious API gateways,Nov 2015,Hold
OWIN,Jan 2014,Assess
OWIN,May 2013,Assess
Next-generation test tools,Jul 2011,Trial
Next-generation test tools,Jan 2011,Trial
Next-generation test tools,Aug 2010,Trial
Next-generation test tools,Apr 2010,Trial
Next-generation test tools,Jan 2010,Assess
Pitest,Nov 2016,Assess
Pitest,Apr 2016,Assess
OWASP ASVS,Nov 2016,Assess
OWASP ASVS,Apr 2016,Assess
Physical Web,Nov 2016,Assess
PhantomJS,Jan 2014,Trial
PhantomJS,May 2013,Trial
Pointer Events,Jul 2014,Assess
Pointer Events,Jan 2014,Assess
Message buses without smarts,Mar 2012,Trial
Message buses without smarts,Jul 2011,Trial
Message buses without smarts,Jan 2011,Trial
Message buses without smarts,Aug 2010,Trial
Message buses without smarts,Apr 2010,Trial
OpenAM,May 2015,Assess
OpenAM,Jan 2015,Assess
Play Framework 2,Jul 2014,Trial
Play Framework 2,Jan 2014,Trial
Play Framework 2,May 2013,Trial
Phoenix Environments,Apr 2016,Trial
Phoenix Environments,Nov 2015,Trial
Phoenix Environments,May 2015,Assess
SaaS performance testing tools,Oct 2012,Trial
PhoneGap/Apache Cordova,Jan 2014,Assess
PhoneGap/Apache Cordova,May 2013,Assess
Private Clouds,Jul 2014,Trial
Private Clouds,Jan 2014,Assess
Private Clouds,Oct 2012,Trial
Private Clouds,Mar 2012,Trial
RDF triple stores,Jan 2011,Assess
RDF triple stores,Aug 2010,Assess
Presto,Apr 2016,Assess
Presto,Nov 2015,Assess
Tailored Service Template,Jan 2015,Trial
Tailored Service Template,Jul 2014,Trial
Sandstorm,Apr 2016,Assess
Production immune system,Mar 2012,Assess
Reactive Extensions for .Net,May 2013,Assess
RAML,Apr 2016,Assess
RAML,Nov 2015,Assess
Reactive Extensions across languages,Jul 2014,Adopt
Reactive Extensions across languages,Jan 2014,Trial
Twitter Bootstrap,May 2013,Assess
Twitter Bootstrap,Oct 2012,Trial
Require.js & NPM,May 2013,Trial
U2F,May 2015,Assess
U2F,Jan 2015,Assess
Redis,Jan 2014,Adopt
Redis,May 2013,Adopt
Real-time business intelligence,Jan 2011,Assess
Polly,Nov 2015,Trial
Polly,May 2015,Trial
Polyglot Persistence,Oct 2012,Trial
Polyglot Persistence,Mar 2012,Trial
UIAutomator,May 2013,Assess
Pivotal Cloud Foundry,Nov 2016,Trial
Pivotal Cloud Foundry,Apr 2016,Trial
Sensu,Nov 2015,Trial
Sensu,Jan 2014,Assess
Redux,Nov 2016,Adopt
Redux,Apr 2016,Trial
Polyglot programming,Aug 2010,Trial
Polyglot programming,Apr 2010,Trial
Promises for asynchronous programming,May 2013,Adopt
